p_lo,p_hi,n_coquestions
AAP,BJP,2
AAP,Regional,2
BJP,BJP,477
BJP,DMK,11
BJP,INC,70
BJP,Independent,3
BJP,JDU,49
BJP,Left,10
BJP,RJD,4
BJP,Regional,84
BJP,SP,4
BJP,Shiv Sena,34
BJP,TDP,4
DMK,DMK,1
DMK,INC,2
DMK,Regional,10
INC,INC,57
INC,JDU,4
INC,Left,4
INC,RJD,7
INC,Regional,19
INC,Shiv Sena,2
INC,TDP,15
Independent,Shiv Sena,1
JDU,JDU,9
JDU,RJD,1
JDU,Regional,2
Left,Left,1
Left,Regional,3
Left,Shiv Sena,1
Left,TDP,1
RJD,RJD,1
Regional,RJD,1
Regional,Regional,15
Regional,SP,2
Regional,Shiv Sena,6
Regional,TDP,3
Shiv Sena,SP,3
Shiv Sena,Shiv Sena,6
TDP,TDP,1
