party_family,hindutva_adjusted,econ_adjusted,rural_adjusted,n_docs
AAP,-0.08442984808476926,-0.37117347307274595,-0.1732993953648079,5
BJP,-0.027592768789945456,0.017185669937505373,-0.04325093891711972,26
BSP,0.006583048882519746,0.3436066123929798,0.19382429724656347,12
DMK,0.02812600224285214,0.0641656464272063,-0.09436425149375706,12
INC,0.015302801010276972,0.0016040875144805126,-7.86160319675732e-5,26
Independent,0.3813268193534168,-0.011073527297561208,-0.46052735298299285,5
JDU,0.13531871798373762,0.19614330281020512,0.23220585735828234,13
Left,-0.1017448230729573,-0.13391268987409546,0.03328771515201754,19
RJD,0.11105191036557333,0.18412297427790772,0.07273362350715679,11
Regional,-0.013871830878824093,0.028125423700167705,0.09701407886650901,26
SP,-0.10221817240838313,-0.26966758375172695,-0.16477044062165055,12
Shiv Sena,0.00352312277704368,0.006754157377243099,0.01619144493736815,25
TDP,-0.086908416513546,-0.24350340687222174,-0.17684137363436644,13
