topic,term,beta
1,reason,0.029102793140705404
1,railway,0.025144684902491474
1,therefor,0.023593534376704934
1,lok,0.018833106901015202
1,sabha,0.017549396121053936
1,star,0.01701451662940339
1,forest,0.015463366103616856
1,ministri,0.014500583018645907
1,develop,0.01337733608617978
1,environ,0.013056408391189461
1,chang,0.012521528899538933
1,bank,0.011612233763733033
1,oper,0.01129130606874271
1,along,0.010863402475422284
1,new,0.010756426577092177
2,0.00,0.060288573085846876
2,pradesh,0.012797273781902548
2,offic,0.011916846204839243
2,state,0.00979346204839244
2,research,0.008809454756380508
2,claim,0.008705875041431886
2,hindi,0.008032606894265827
2,annexur,0.007359338747099766
2,day,0.007307548889625456
2,school,0.007048599602253892
2,bank,0.006996809744779581
2,director,0.006271751740139212
2,post,0.005909222737819025
2,releas,0.005753853165396089
2,lakh,0.005753853165396089
3,court,0.021987309512664477
3,commiss,0.021077131117699065
3,elect,0.016526239142871994
3,water,0.015616060747906594
3,justic,0.014055754927965881
3,sport,0.014055754927965881
3,crore,0.013925729442970824
3,sector,0.011585270713059757
3,suppli,0.010545066833099283
3,sabha,0.008984761013158576
3,law,0.008854735528163519
3,recommend,0.008854735528163519
3,period,0.0085946845581734
3,pradesh,0.008204608103188222
3,laid,0.00781453164820305
4,project,0.01640193786304804
4,reason,0.014594229795849503
4,therefor,0.0142326881824098
4,shrimati,0.013750632697823515
4,answer,0.013148063342090677
4,kerala,0.012424980115211258
4,propos,0.012183952372918118
4,lok,0.010737785919159295
4,ministri,0.010255730434573018
4,wise,0.010255730434573018
4,andhra,0.009894188821133312
4,sabha,0.00977367494998674
4,star,0.009412133336547033
4,year,0.009291619465400469
4,affair,0.00868905010966762
5,propos,0.021497268381516044
5,along,0.01893637605281129
5,servic,0.01694457090826315
5,affair,0.014668222171636693
5,last,0.01296096061916685
5,measur,0.010969155474618714
5,answer,0.010969155474618714
5,petroleum,0.009688709310266335
5,gas,0.009546437514227178
5,action,0.009404165718188027
5,protect,0.009261893922148875
5,invest,0.008265991349874801
5,report,0.008123719553835647
5,aviat,0.007981447757796497
5,civil,0.00783917596175734
6,indian,0.021920587233251777
6,amount,0.01471954656672965
6,price,0.014564685477127023
6,one,0.013712949484312573
6,alloc,0.01324836621550469
6,work,0.012086908043484995
6,compani,0.010693158237061358
6,institut,0.010538297147458728
6,cost,0.010151144423452163
6,like,0.009841422244246912
6,three,0.00813795025861802
6,aiim,0.00813795025861802
6,provid,0.007828228079412768
6,beneficiari,0.0074410753554062
6,site,0.0074410753554062
7,reason,0.026875903996989612
7,therefor,0.022407366032055884
7,road,0.020878655675631182
7,along,0.019761521184397744
7,railway,0.018938369454015218
7,highway,0.017350862545420336
7,fund,0.01682169357588871
7,set,0.014587424593421846
7,health,0.012411952163125151
7,industri,0.010648055598019731
7,provid,0.010648055598019731
7,rural,0.010530462493679369
7,project,0.010295276284998652
7,centr,0.010236479732828468
7,peopl,0.010001293524147746
8,wise,0.029144860656371643
8,year,0.02205522184124365
8,propos,0.019606073886926704
8,odisha,0.017414730980432603
8,last,0.015481193121761326
8,along,0.015094485550027069
8,sector,0.010711799737038846
8,like,0.01045399468921601
8,chandra,0.010196189641393174
8,child,0.009551677021836085
8,kumar,0.009293871974013254
8,increas,0.008778261878367577
8,affair,0.00852045683054474
8,state,0.00852045683054474
8,textil,0.008391554306633322
9,district,0.02904178245335451
9,bihar,0.025196010321556172
9,year,0.020357780865422784
9,sugar,0.02023372369988091
9,three,0.019985609368797144
9,last,0.019241266375545848
9,includ,0.018620980547836438
9,wise,0.017008237395791978
9,propos,0.015271437078205642
9,due,0.015023322747121868
9,food,0.014278979753870586
9,provid,0.011673779277491064
9,procur,0.011177550615323538
9,star,0.011053493449781656
9,kumar,0.010681321953156011
9,maharashtra,0.010681321953156011
10,farmer,0.05207634182778704
10,agricultur,0.03957282352177019
10,welfar,0.039302184597397545
10,ministri,0.02236018793166909
10,state,0.019437287548444374
10,answer,0.017651070647584817
10,develop,0.016406131595470594
10,star,0.014619914694611045
10,depart,0.014024509060991192
10,sabha,0.01386212570636759
10,famili,0.013699742351744003
10,health,0.013645614566869468
10,एवं,0.013212592287873207
10,product,0.013050208933249615
10,programm,0.011642886526511784
11,wise,0.026812538218169247
11,along,0.022603000735561287
11,propos,0.020786252979909433
11,last,0.017773110360779523
11,year,0.015690497079910316
11,singh,0.014139614849475806
11,water,0.014006682086867131
11,action,0.011702514201650142
11,three,0.011436648676432796
11,implement,0.0102845647338243
11,project,0.010063010129476508
11,answer,0.009442657237302704
11,like,0.008689371582520226
11,affair,0.008645060661650675
11,case,0.008556438819911555
12,union,0.03115681459393089
12,propos,0.02348272232941589
12,river,0.02129012453955446
12,tamil,0.019974565865637606
12,ministri,0.019536046307665315
12,nadu,0.01668566918084547
12,jadhav,0.015808630064900898
12,fact,0.015589370285914748
12,action,0.01537011050692861
12,maharashtra,0.014493071390984033
12,awar,0.01427381161199789
12,educ,0.01273899315909489
12,yadav,0.012519733380108757
12,receiv,0.012300473601122606
12,karnataka,0.011204174706191896
13,wise,0.02598609254260946
13,sector,0.019553683290030186
13,includ,0.018923054931934184
13,industri,0.017493630653583236
13,power,0.014508656425262135
13,propos,0.013373525380689326
13,promot,0.013247399709070124
13,educ,0.012532687569894639
13,current,0.012406561898275444
13,use,0.011817975430719174
13,coal,0.011691849759099973
13,measur,0.011187347072623166
13,area,0.011145305182083431
13,depart,0.010766928167225822
13,technolog,0.009926090356431145
14,wise,0.02350302113193875
14,district,0.020679035369089608
14,propos,0.019986359615937938
14,last,0.017535353104785864
14,pradesh,0.01508434659363378
14,year,0.0142318225897548
14,answer,0.012207078080542205
14,singh,0.01151440232739053
14,includ,0.010875009324481297
14,affair,0.010661878323511549
14,lok,0.010288899071814486
14,shrimati,0.009649506068905253
14,uttar,0.009489657818177944
14,jharkhand,0.00874369931478383
14,ministri,0.008690416564541396
15,develop,0.03385965405182668
15,fund,0.0294580395021493
15,state,0.023136571797825415
15,various,0.019577819608724564
15,ministri,0.019390516861929778
15,includ,0.018266700381161086
15,wise,0.016768278406802832
15,public,0.01634684722651458
15,star,0.0161595444797198
15,sabha,0.015503984865938063
15,year,0.01522303074574589
15,lok,0.01433334269847067
15,alloc,0.014192865638374592
15,last,0.012928572097509812
15,food,0.01222618679702938
