party,election_year,lok_no,n_chars,n_pdf_pages,source_file
BJP,2009,15,105982,49,BJP_2009.pdf
BJP,2014,16,128466,52,BJP_2014.pdf
BJP,2019,17,113469,45,BJP_2019.pdf
BJP,2024,18,248434,76,BJP_2024.pdf
INC,2009,15,58756,14,INC_2009.pdf
INC,2014,16,107898,27,INC_2014.pdf
INC,2019,17,146078,29,INC_2019.pdf
INC,2024,18,100729,48,INC_2024.pdf
AIADMK,2014,16,58275,110,AIADMK_Manifesto_2014_85d0f82fcb.pdf
AIADMK,2019,17,58861,89,AIADMK_Manifesto_2019_1abe4f94ae.pdf
NCP,2019,17,51287,23,NCP_2019.pdf
NCP,2024,18,54361,32,NCP_2024.pdf
AITC,2024,18,126633,104,AITC_2924.pdf
CPI-M,2019,17,80447,35,Communist_2019.pdf
CPI-M,2024,18,112037,68,Communist_2024.pdf
DMK,2024,18,80493,68,DMK_Election_Manifesto_Eng_Karthi_33ac415568_ad861eddfe.pdf
