ministry,n_questions,mean_compound,pct_adversarial
HOUSING AND URBAN AFFAIRS,69,-0.023074178743961348,37.68115942028986
HOME AFFAIRS,148,0.06310350506756757,39.189189189189186
PLANNING,30,0.1473977777777778,33.33333333333333
EXTERNAL AFFAIRS,62,0.1670983870967742,29.03225806451613
WOMEN AND CHILD DEVELOPMENT,83,0.19772326448651747,22.89156626506024
CHEMICALS AND FERTILIZERS,67,0.21160101282484953,19.402985074626866
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",105,0.21964980911680912,18.095238095238095
COMMUNICATIONS,86,0.2265053875968992,27.906976744186046
"ENVIRONMENT,  FORESTS AND CLIMATE CHANGE",176,0.26447093614718614,19.886363636363637
INFORMATION AND BROADCASTING,59,0.2672783898305085,23.728813559322035
ROAD TRANSPORT AND HIGHWAYS,151,0.27033294701986754,17.218543046357617
ELECTRONICS AND INFORMATION TECHNOLOGY,51,0.2724037254901961,19.607843137254903
RAILWAYS,264,0.27491893939393935,16.28787878787879
CORPORATE AFFAIRS,40,0.27810375,20.0
JAL SHAKTI,92,0.2802394927536232,11.956521739130435
FINANCE,231,0.29253994708994707,16.883116883116884
HUMAN RESOURCE DEVELOPMENT,133,0.3080573588733739,14.285714285714285
AGRICULTURE AND FARMERS WELFARE,257,0.3183232251348215,12.45136186770428
CIVIL AVIATION,122,0.32270573770491806,10.655737704918032
COMMERCE AND INDUSTRY,109,0.3351405206057958,12.844036697247708
POWER,78,0.34447548076923074,14.102564102564102
"WATER RESOURCES, RIVER DEVELOPMENT AND GANAGA REJUVENATION",61,0.35802566484517306,14.754098360655737
COAL,55,0.383277196969697,9.090909090909092
TRIBAL AFFAIRS,59,0.384571186440678,5.084745762711865
Education,94,0.4046299645390071,6.382978723404255
MINES,34,0.4061530959752322,11.76470588235294
YOUTH AFFAIRS AND SPORTS,67,0.4064742390986245,5.970149253731343
HEALTH AND FAMILY WELFARE,299,0.41168008547008544,15.050167224080269
PANCHAYATI RAJ,31,0.4126956989247312,6.451612903225806
"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",46,0.436477536231884,17.391304347826086
TEXTILES,64,0.45526403645833335,6.25
"MICRO,SMALL AND MEDIUM ENTERPRISES",49,0.4628908163265306,6.122448979591836
SKILL DEVELOPMENT AND ENTREPRENEURSHIP,55,0.4694762424242424,1.8181818181818181
RURAL DEVELOPMENT,123,0.47091917344173445,5.691056910569105
PETROLEUM AND NATURAL GAS,105,0.4799347460317461,7.6190476190476195
DEFENCE,98,0.4811715986394558,10.204081632653061
NEW AND RENEWABLE ENERGY,60,0.4910668333333333,0.0
LABOUR AND EMPLOYMENT,79,0.4928255274261603,6.329113924050633
MINORITY AFFAIRS,35,0.4956409523809524,2.857142857142857
SOCIAL JUSTICE AND EMPOWERMENT,49,0.496935306122449,8.16326530612245
DRINKING WATER AND SANITATION,44,0.5008541287878788,4.545454545454546
SCIENCE AND TECHNOLOGY,36,0.504029503968254,0.0
"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)",70,0.5164918571428571,4.285714285714286
TOURISM,79,0.530595358649789,1.2658227848101267
CULTURE,83,0.5406683734939759,0.0
LAW AND JUSTICE,82,0.5660086435601198,2.4390243902439024
FOOD PROCESSING INDUSTRIES,48,0.5873631944444444,4.166666666666666
