party_family,n_questions,mean_compound,sd_compound,pct_adversarial,pct_positive,pct_neutral
Left,75,0.16634784444444445,0.45489097283461716,25.333333333333336,68.0,6.666666666666667
RJD,12,0.24001527777777779,0.412457555052781,16.666666666666664,66.66666666666666,16.666666666666664
SP,30,0.25992992063492065,0.4132836891788673,20.0,76.66666666666667,3.3333333333333335
Independent,6,0.2646875,0.5605524332138292,33.33333333333333,66.66666666666666,0.0
INC,709,0.2979509136498981,0.41327493461586634,16.22002820874471,73.20169252468264,10.578279266572638
JDU,160,0.31028880528846153,0.45519225326069757,18.125,72.5,9.375
Shiv Sena,155,0.3289157530044276,0.44276896762442486,16.129032258064516,76.12903225806451,7.741935483870968
Regional,522,0.34475205329553715,0.40922581835113575,13.601532567049809,78.35249042145594,8.045977011494253
DMK,82,0.3572652235772358,0.4043463111830454,12.195121951219512,79.26829268292683,8.536585365853659
BJP,2672,0.3611141926325138,0.40744259509327757,12.724550898203594,79.56586826347305,7.709580838323353
TDP,112,0.37477625612745097,0.3959513655400915,9.821428571428571,83.92857142857143,6.25
AAP,9,0.4116314814814815,0.4924411275052501,11.11111111111111,88.88888888888889,0.0
BSP,31,0.4362405913978495,0.33683191418100855,6.451612903225806,87.09677419354838,6.451612903225806
