lok_no,party_family,n_questions,mean_compound,pct_adversarial
16,AAP,5,0.46991666666666665,0.0
16,BJP,1365,0.36077505052313324,13.186813186813188
16,INC,243,0.3316439483310471,15.637860082304528
16,JDU,28,0.25673537545787545,17.857142857142858
16,Left,63,0.13149690476190476,26.984126984126984
16,RJD,12,0.24001527777777779,16.666666666666664
16,Regional,261,0.3221242958813497,15.32567049808429
16,SP,30,0.25992992063492065,20.0
16,Shiv Sena,78,0.2760067313976873,19.230769230769234
16,TDP,63,0.3187097727980081,12.698412698412698
17,AAP,4,0.33877500000000005,25.0
17,BJP,1307,0.36146838465952563,12.241775057383322
17,BSP,31,0.4362405913978495,6.451612903225806
17,DMK,82,0.3572652235772358,12.195121951219512
17,INC,466,0.28038136981402,16.523605150214593
17,Independent,6,0.2646875,33.33333333333333
17,JDU,132,0.32164862373737374,18.181818181818183
17,Left,12,0.34931527777777777,16.666666666666664
17,Regional,261,0.36737981070972453,11.877394636015326
17,Shiv Sena,77,0.3825119047619048,12.987012987012985
17,TDP,49,0.4468617346938776,6.122448979591836
