primary_mp,n_questions,hhi,cosign_reach,adv_rate,mean_score,constituency,is_sule_flag,name_clean,rank_q,rank_hhi,rank_cs
RAHUL SHEWALE,56,0.05,19,NA,NA,Mumbai South Central,FALSE,Rahul Shewale,1,5,7
KRUPAL TUMANE,53,0.051,20,20.8,0.345,Ramtek (SC),FALSE,Krupal Tumane,2,7,5
VINAYAK RAUT,53,0.05,22,NA,NA,Ratnagiri–Sindhudurg,FALSE,Vinayak Raut,2,5,2
RAMDAS TADAS,50,0.064,22,NA,NA,Wardha,FALSE,Ramdas Tadas,4,22,2
ASHOK NETE,46,0.047,13,NA,NA,Gadchiroli–Chimur (ST),FALSE,Ashok Nete,5,3,15
GAJANAN KIRTIKAR,44,0.061,25,NA,NA,Mumbai North West,FALSE,Gajanan Kirtikar,6,15,1
GOPAL SHETTY,44,0.046,9,NA,NA,Mumbai North,FALSE,Gopal Shetty,6,1,24
SANJAY JADHAV,43,0.051,8,9.5,0.347,Parbhani,FALSE,Sanjay Jadhav,8,7,28
HEMANT GODSE,42,0.046,16,NA,NA,Nashik,FALSE,Hemant Godse,9,1,11
ARVIND SAWANT,41,0.048,22,NA,NA,Mumbai South,FALSE,Arvind Sawant,10,4,2
HEENA GAVIT,41,0.067,19,NA,NA,Nandurbar (ST),FALSE,Heena Gavit,10,23,7
RAKSHA KHADSE,41,0.067,13,NA,NA,Raver,FALSE,Raksha Khadse,10,23,15
SADASHIV LOKHANDE,40,0.059,12,NA,NA,Shirdi (SC),FALSE,Sadashiv Lokhande,13,13,17
SHRIKANT SHINDE,39,0.061,19,20.5,0.267,Kalyan,FALSE,Shrikant Shinde,14,15,7
SHRIRANG BARNE,36,0.057,18,NA,NA,Maval,FALSE,Shrirang Barne,15,11,10
SUPRIYA SULE,35,0.061,16,NA,NA,Baramati,TRUE,Supriya Sule,16,15,11
KAPIL PATIL,34,0.062,7,NA,NA,Bhiwandi,FALSE,Kapil Patil,17,18,29
PRATAPRAO JADHAV,34,0.071,20,5.6,0.361,Buldhana,FALSE,Prataprao Jadhav,17,26,5
SANJAY SHAMRAO DHOTRE,31,0.053,15,12.9,0.321,Akola,FALSE,Sanjay Shamrao Dhotre,19,9,13
SUSHIL KUMAR SINGH,30,0.058,9,16.7,0.243,Aurangabad,FALSE,Sushil Kumar Singh,20,12,24
DHANANJAY MAHADIK,28,0.054,12,NA,NA,Kolhapur,FALSE,Dhananjay Mahadik,21,10,17
RAJAN VICHARE,28,0.087,10,NA,NA,Thane,FALSE,Rajan Vichare,21,31,22
RAJEEV SATAV,25,0.059,9,NA,NA,Hingoli,FALSE,Rajeev Satav,23,13,24
RAVINDRA GAIKWAD,25,0.062,11,NA,NA,Osmanabad,FALSE,Ravindra Gaikwad,23,18,20
ANANDRAO VITHOBA ADSUL,24,0.062,12,NA,NA,Amravati (SC),FALSE,Anandrao Vithoba Adsul,25,18,17
CHANDRAKANT KHAIRE,23,0.085,10,NA,NA,Aurangabad,FALSE,Chandrakant Khaire,26,30,22
ASHOK CHAVAN,21,0.07,14,NA,NA,Nanded,FALSE,Ashok Chavan,27,25,14
RAJENDRA GAVIT,20,0.075,7,NA,NA,Palghar (ST),FALSE,Rajendra Gavit,28,27,29
SUBHASH BHAMRE,20,0.095,7,NA,NA,Dhule,FALSE,Subhash Bhamre,28,32,29
SANJAY MANDLIK,18,0.062,11,NA,NA,Kolhapur,FALSE,Sanjay Mandlik,30,18,20
OMPRAKASH RAJENIMBALKAR,16,0.078,4,NA,NA,Osmanabad,FALSE,Omprakash Rajenimbalkar,31,28,34
SUNIL GAIKWAD,14,0.112,9,NA,NA,Latur (SC),FALSE,Sunil Gaikwad,32,33,24
MANOJ KOTAK,13,0.136,3,NA,NA,Mumbai North East,FALSE,Manoj Kotak,33,36,39
KIRIT SOMAIYA,12,0.167,6,8.3,0.449,Mumbai North East,FALSE,Kirit Somaiya,34,38,32
POONAM MAHAJAN,12,0.083,3,NA,NA,Mumbai North Central,FALSE,Poonam Mahajan,34,29,39
PRATAPRAO GOVINDRAO CHIKHALIKAR,11,0.124,5,NA,NA,Nanded,FALSE,Prataprao Govindrao Chikhalikar,36,35,33
UNMESH BHAIYYASAHEB PATIL,10,0.12,4,0,0.398,Jalgaon,FALSE,Unmesh Bhaiyyasaheb Patil,37,34,34
SUNIL BABURAO MENDHE,9,0.136,2,11.1,0.284,Bhandara–Gondiya,FALSE,Sunil Baburao Mendhe,38,36,41
AMOL KOLHE,7,0.184,4,NA,NA,Shirur,FALSE,Amol Kolhe,39,39,34
SUNIL TATKARE,6,0.222,4,NA,NA,Raigad,FALSE,Sunil Tatkare,40,40,34
ANIL SHIROLE,4,0.25,4,0,0.435,Pune,FALSE,Anil Shirole,41,41,34
HEMANT PATIL,3,0.333,2,33.3,0.394,Hingoli,FALSE,Hemant Patil,42,42,41
SHARAD BANSODE,3,0.333,2,0,0.321,Solapur (SC),FALSE,Sharad Bansode,42,42,41
