cosignatory,n_questions,party_family,constituency
DHANANJAY BHIMRAO MAHADIK,11,NA,NA
HEENA VIJAYKUMAR GAVIT,9,NA,NA
RAJEEV SHANKARRAO SATAV,9,NA,NA
AMOL RAMSING KOLHE,6,NA,NA
PROF. VARSHA EKNATH GAIKWAD,5,NA,NA
SUBHASH RAMRAO BHAMRE,4,NA,NA
SHRI MOHITE PATIL DHAIRYASHEEL RAJSINH,3,NA,NA
DNV SENTHILKUMAR. S.,2,NA,NA
DR. AMOL RAMSING KOLHE,2,NA,NA
GANESAN SELVAM,2,NA,NA
JAYAKUMAR JAYAVARDHAN,2,NA,NA
KULDEEP RAI SHARMA,2,INC,Andaman and Nicobar Islands
P.R. SUNDARAM,2,NA,NA
SUNIL DATTATRAY TATKARE,2,NA,NA
T. RADHAKRISHNAN,2,NA,NA
VIJAYSINH MOHITE PATIL,2,NA,NA
KIRTI VARDHAN SINGH,1,BJP,Gonda
OM PRAKASH YADAV,1,BJP,Siwan
RAMACHANDRAN MULLAPPALLY,1,NA,NA
RAMDAS CHANDRABHANJI TADAS,1,NA,NA
RAVINDRA VISHWANATH GAIKWAD,1,NA,NA
S.P. MUDDAHANUMEGOWDA,1,NA,NA
S.R. PARTHIBAN,1,NA,NA
SANTOSH AHLAWAT,1,BJP,Jhunjhunu
SHIVAJI ADHALRAO PATIL,1,NA,NA
SHRINIWAS DADASAHEB PATIL,1,NA,NA
T.G. VENKATESH BABU,1,NA,NA
VINAYAK BHAURAO RAUT,1,NA,NA
